GRUP,DOSEN,P1,P2,active
1,DDM,4,4,0
1,DDN,5,0,0
1,DPA,4,5,0
1,DPS,5,5,0
1,DNK,3,3,0
1,EDI,3,0,0
1,EKO,0,7,0
1,ELS,2,3,0
1,EVA,3,4,0
1,HET,5,0,0
1,IKE,2,2,0
1,IPH,5,0,0
1,LIN,5,4,0
1,MEG,3,2,0
1,RAT,5,4,0
1,RED,4,2,0
1,SAT,2,3,0
1,SIN,0,8,0
1,SIS,4,6,0
1,MAD,5,5,0
1,SUK,4,4,0
1,SUP,1,0,0
1,YEN,2,5,0
2,SUP,2,0,1
2,NAN,0,2,1
3,NAN,2,0,1
3,SUP,0,2,1
4,DVR,1,0,1
4,KHO,1,0,1
4,PUJ,1,0,1
4,DNK,0,1,1
4,SAT,0,1,1
4,VEP,0,1,1
5,SUP,4,0,1
5,NAN,5,0,1
5,HET,0,2,1
5,DDN,0,2,1
5,EDI,0,2,1
5,IPH,0,3,1
6,IPH,3,0,1
6,HET,0,1,1
6,DDN,0,1,1
6,EDI,0,1,1
7,DDN,1,0,1
7,EDI,5,0,1
7,HET,0,2,1
7,DPA,0,1,1
7,VEP,0,2,1
7,EVA,0,1,1
8,HET,1,0,1
8,EVA,2,0,1
8,VEP,5,0,1
8,MEG,2,0,1
8,RED,1,0,1
8,SAT,0,1,1
8,ELS,0,3,1
8,IKE,0,3,1
8,SUK,0,2,1
8,YEN,0,1,1
8,RAT,0,1,1
9,DPS,0,1,1
9,SIS,1,0,1
9,DPA,1,0,1
9,DNK,2,0,1
9,ELS,3,0,1
9,IKE,3,0,1
9,SAT,2,0,1
9,SUK,1,0,1
9,YEN,1,0,1
9,DDM,0,1,1
9,VEP,0,2,1
9,RED,0,4,1
9,EVA,0,1,1
9,MEG,0,4,1
9,DNK,0,1,1
10,EKO,1,0,1
10,SIN,0,1,1
11,SIN,1,0,1
11,EKO,0,1,1
12,SUP,1,0,0
12,YEN,1,0,0
12,MAD,0,1,0
12,RAT,0,1,0
13,MAD,1,0,0
13,DNK,0,1,0
14,SUP,3,0,0
14,DDN,0,2,0
14,VEP,0,1,0
15,DDN,1,0,0
15,DDM,2,0,0
15,YEN,1,0,0
15,SAT,3,0,0
15,VEP,1,0,0
15,EKO,0,3,0
15,LIN,0,3,0
15,SIN,0,2,0
16,YEN,1,0,0
16,VEP,1,0,0
16,DDN,1,0,0
16,LIN,1,0,0
16,YEN,0,1,0
16,SAT,0,1,0
16,DDM,0,2,0
