npm,P1,P2
202151089,DDM,SUK
202151006,DPS,MAD
202151024,DDM,SUK
202151027,MAD,EKO
202151502,MAD,DPA
202151142,DPS,EKO
202151014,DPS,MEG
202151022,MAD,ELS
202151036,DDN,SIN
202151040,LIN,YEN
202151005,DPA,SIN
202151007,DPS,ELS
202151062,YEN,DPA
202151068,LIN,EKO
202151053,EVA,EKO
202151099,DDM,SUK
202151004,MEG,MAD
202151026,EDI,MAD
202151030,DPA,SAT
202151051,LIN,RED
202151052,RED,LIN
202151102,SUK,DDM
202151503,RAT,LIN
202151067,YEN,RAT
202151149,DPA,YEN
202151012,IPH,MAD
202151020,MEG,LIN
202151083,LIN,EKO
202151015,DPA,MAD
202151018,SAT,DPA
202151023,IPH,DPA
202151033,DDN,LIN
202151045,RAT,YEN
202151046,HET,SIN
202151057,SAT,DPS
202151059,IPH,DPS
202151069,EDI,SIN
202151073,RAT,EVA
202151086,LIN,YEN
202151088,MAD,SAT
202151110,ELS,RAT
202151144,HET,SIN
202151009,SUK,DDM
202151048,SUK,DDM
202151056,HET,DPS
202151075,DNK,EVA
202151103,DDM,SUK
202151042,SUP,SIN
202151055,RED,SIS
202151065,RED,YEN
202151121,HET,SIN
202151138,DNK,ELS
202151139,IKE,DNK
202151016,SIS,EVA
202151032,EVA,SIS
202151034,DDN,MEG
202151054,RED,SIS
202151081,MAD,IKE
202151084,SIS,SAT
202151126,SIS,SIN
202151013,RAT,DPS
202151025,EDI,SIS
202151028,DDN,RAT
202151041,DDN,EVA
202151060,DPS,RAT
202151066,SIS,RED
202151072,IPH,SIS
202151080,HET,EKO
202151109,MEG,DNK
202151112,ELS,DPS
202151124,RAT,EKO
202151130,DNK,IKE
202151137,IKE,DNK
202151113,SUK,DDM
202151135,EVA,SIS
202151150,IPH,DPA
